word,prompt
basalisk,"clean vector clipart of basalisk, centered, isolated, plain white background, minimal style, bold outline, no text, square composition"
blame,"clean vector clipart of blame, centered, isolated, plain white background, minimal style, bold outline, no text, square composition"
blank,"clean vector clipart of blank, centered, isolated, plain white background, minimal style, bold outline, no text, square composition"
blur,"clean vector clipart of blur, centered, isolated, plain white background, minimal style, bold outline, no text, square composition"
bombproof,"clean vector clipart of bombproof, centered, isolated, plain white background, minimal style, bold outline, no text, square composition"
booster,"clean vector clipart of booster, centered, isolated, plain white background, minimal style, bold outline, no text, square composition"
bracelet,"clean vector clipart of bracelet, centered, isolated, plain white background, minimal style, bold outline, no text, square composition"
brisk,"clean vector clipart of brisk, centered, isolated, plain white background, minimal style, bold outline, no text, square composition"
broccoli,"clean vector clipart of broccoli, centered, isolated, plain white background, minimal style, bold outline, no text, square composition"
bronze,"clean vector clipart of bronze, centered, isolated, plain white background, minimal style, bold outline, no text, square composition"
brown,"clean vector clipart of brown, centered, isolated, plain white background, minimal style, bold outline, no text, square composition"
bugler,"clean vector clipart of bugler, centered, isolated, plain white background, minimal style, bold outline, no text, square composition"
bust,"clean vector clipart of bust, centered, isolated, plain white background, minimal style, bold outline, no text, square composition"
butterfly,"clean vector clipart of butterfly, centered, isolated, plain white background, minimal style, bold outline, no text, square composition"
camoflauge,"clean vector clipart of camoflauge, centered, isolated, plain white background, minimal style, bold outline, no text, square composition"
capriole,"clean vector clipart of capriole, centered, isolated, plain white background, minimal style, bold outline, no text, square composition"
capris,"clean vector clipart of capris, centered, isolated, plain white background, minimal style, bold outline, no text, square composition"
capsule,"clean vector clipart of capsule, centered, isolated, plain white background, minimal style, bold outline, no text, square composition"
carefree,"clean vector clipart of carefree, centered, isolated, plain white background, minimal style, bold outline, no text, square composition"
cask,"clean vector clipart of cask, centered, isolated, plain white background, minimal style, bold outline, no text, square composition"
cast,"clean vector clipart of cast, centered, isolated, plain white background, minimal style, bold outline, no text, square composition"
cauliflower,"clean vector clipart of cauliflower, centered, isolated, plain white background, minimal style, bold outline, no text, square composition"
chakra,"clean vector clipart of chakra, centered, isolated, plain white background, minimal style, bold outline, no text, square composition"
chaplain,"clean vector clipart of chaplain, centered, isolated, plain white background, minimal style, bold outline, no text, square composition"
Christmas,"clean vector clipart of Christmas, centered, isolated, plain white background, minimal style, bold outline, no text, square composition"
circlet,"clean vector clipart of circlet, centered, isolated, plain white background, minimal style, bold outline, no text, square composition"
clarinet,"clean vector clipart of clarinet, centered, isolated, plain white background, minimal style, bold outline, no text, square composition"
clasp,"clean vector clipart of clasp, centered, isolated, plain white background, minimal style, bold outline, no text, square composition"
clean,"clean vector clipart of clean, centered, isolated, plain white background, minimal style, bold outline, no text, square composition"
cleat,"clean vector clipart of cleat, centered, isolated, plain white background, minimal style, bold outline, no text, square composition"
clip,"clean vector clipart of clip, centered, isolated, plain white background, minimal style, bold outline, no text, square composition"
cloak,"clean vector clipart of cloak, centered, isolated, plain white background, minimal style, bold outline, no text, square composition"
cobbler,"clean vector clipart of cobbler, centered, isolated, plain white background, minimal style, bold outline, no text, square composition"
coleslaw,"clean vector clipart of coleslaw, centered, isolated, plain white background, minimal style, bold outline, no text, square composition"
complete,"clean vector clipart of complete, centered, isolated, plain white background, minimal style, bold outline, no text, square composition"
compress,"clean vector clipart of compress, centered, isolated, plain white background, minimal style, bold outline, no text, square composition"
cornflakes,"clean vector clipart of cornflakes, centered, isolated, plain white background, minimal style, bold outline, no text, square composition"
cosmic,"clean vector clipart of cosmic, centered, isolated, plain white background, minimal style, bold outline, no text, square composition"
costume,"clean vector clipart of costume, centered, isolated, plain white background, minimal style, bold outline, no text, square composition"
counsel,"clean vector clipart of counsel, centered, isolated, plain white background, minimal style, bold outline, no text, square composition"
crack,"clean vector clipart of crack, centered, isolated, plain white background, minimal style, bold outline, no text, square composition"
cradle,"clean vector clipart of cradle, centered, isolated, plain white background, minimal style, bold outline, no text, square composition"
creepy,"clean vector clipart of creepy, centered, isolated, plain white background, minimal style, bold outline, no text, square composition"
crepe,"clean vector clipart of crepe, centered, isolated, plain white background, minimal style, bold outline, no text, square composition"
crisp,"clean vector clipart of crisp, centered, isolated, plain white background, minimal style, bold outline, no text, square composition"
